Date,MONTHLY_TOTAL,MONTHLY_NORMAL_8110,MONTHLY_NORMAL_9120
3/1/2021,43.26,42.26,48.00
4/1/2021,59.53,46.92,46.30
5/1/2021,9.81,35.18,37.62
6/1/2021,7.39,12.73,11.72
7/1/2021,2.36,6.73,3.38
8/1/2021,2.63,6.55,4.42
9/1/2021,9.56,23.77,24.36
10/1/2021,41.61,68.35,68.29
11/1/2021,12.28,81.78,84.12
12/1/2021,41.43,82.31,71.65
1/1/2022,3.05,62.59,62.17
2/1/2022,3.68,53.91,47.40
3/1/2022,101.51,42.26,48.00
4/1/2022,42.83,46.92,46.30
5/1/2022,4.02,35.18,37.62
6/1/2022,9.83,12.73,11.72
7/1/2022,0.91,6.73,3.38
8/1/2022,4.94,6.55,4.42
9/1/2022,24.54,23.77,24.36
10/1/2022,28.79,68.35,68.29
11/1/2022,39.35,81.78,84.12
12/1/2022,169.86,82.31,71.65
1/1/2023,45.29,62.59,62.17
2/1/2023,12.62,53.91,47.40
3/1/2023,12.42,42.26,48.00
4/1/2023,4.07,46.92,46.30
5/1/2023,23.39,35.18,37.62
6/1/2023,3.34,12.73,11.72
7/1/2023,0.62,6.73,3.38
8/1/2023,1.13,6.55,4.42
9/1/2023,10.38,23.77,24.36
10/1/2023,90.47,68.35,68.29
11/1/2023,58.19,81.78,84.12
12/1/2023,26.92,82.31,71.65
1/1/2024,95.19,62.59,62.17
2/1/2024,67.50,53.91,47.40
3/1/2024,106.01,42.26,48.00
4/1/2024,16.75,46.92,46.30
5/1/2024,3.54,35.18,37.62
6/1/2024,33.83,12.73,11.72
7/1/2024,5.36,6.73,3.38
8/1/2024,0.88,6.55,4.42
9/1/2024,6.03,23.77,24.36
10/1/2024,55.01,68.35,68.29
11/1/2024,32.89,81.78,84.12
12/1/2024,3.24,82.31,71.65
1/1/2025,128.28,62.59,62.17
2/1/2025,36.37,53.91,47.40
3/1/2025,223.01,42.26,48.00
4/1/2025,82.25,46.92,46.30
5/1/2025,25.52,35.18,37.62
6/1/2025,2.09,12.73,11.72
7/1/2025,3.79,6.73,3.38
8/1/2025,2.07,6.55,4.42
9/1/2025,5.41,23.77,24.36
10/1/2025,8.38,68.35,68.29
11/1/2025,290.48,81.78,84.12
12/1/2025,103.35,82.31,71.65
1/1/2026,142.86,62.59,62.17
2/1/2026,150.91,53.91,47.40
3/1/2026,47.82,42.26,48.00
4/1/2026,6.57,46.92,46.30
5/1/2026,35.10,35.18,37.62
